"encoding","AUC","Sens","Spec","MCC"
"",0.965169522070241,0.891511177469376,0.932701426725566,0.82503898761715
"",0.963473993415728,0.896931250478498,0.930363013495189,0.827882185272892
"",0.965865747016755,0.894643282338307,0.93472542568804,0.830151984273289
"",0.963068723037748,0.903200949771453,0.925258315426111,0.828783401044123
"",0.963830836989125,0.898930909145805,0.930548785921173,0.830021731399005
"",0.965869723216114,0.919846643396835,0.925800948144192,0.84577278124942
"",0.956256074288478,0.899456739904194,0.919104975095555,0.818855994263735
"",0.959309448076616,0.88128361678553,0.925935775538366,0.808157241759593
"",0.959226473093233,0.859128439022463,0.934186596447415,0.795708615047768
"",0.953683577149266,0.812759392506228,0.939630774485058,0.758649823696953
"",0.964237470137109,0.884188385454208,0.936585688867114,0.822015501060135
"",0.965896614663739,0.920997646255227,0.925935491257834,0.847054747120574
"",0.95788109045461,0.852465148432178,0.933453936898152,0.788648434641892
"",0.962849383939144,0.903057339089132,0.925137545214083,0.828517083667585
"",0.95731370633309,0.839225008138756,0.936261011091744,0.779300845576548
"",0.957338380882546,0.840422044837706,0.935495375000821,0.779599393771356
"",0.954777294045454,0.82467701075296,0.938497671497377,0.76833049555357
"",0.963908671734048,0.888155892777618,0.934975729794688,0.824152722692486
"",0.966054113530387,0.901841196777906,0.935768911688841,0.838213811227745
"",0.966592770679791,0.887873190493149,0.939351512975299,0.828438199461457
"",0.959294872577065,0.868763108150803,0.928571340346436,0.798902541551722
"",0.96161305083192,0.871538048841552,0.9329663663782,0.806162588670006
"",0.962473599215362,0.917564194220067,0.926724095255152,0.844437734788976
"",0.960289487059822,0.871250141282523,0.931653441250144,0.804509708338878
"",0.963717180555138,0.873992487739912,0.940715892879567,0.81666285949923
"",0.959759643356438,0.86193626802988,0.934061405182983,0.798216505082464
"",0.95684134668623,0.823362536786146,0.937764443387052,0.766298632624891
"",0.953235610711525,0.800655972425181,0.935319473971226,0.742902533563604
"",0.954190443681751,0.810894688669196,0.937645025958244,0.754762860878099
"",0.947531220416815,0.790818042716777,0.941583566075765,0.741016921324294
"",0.953091052300176,0.790298848438383,0.943440388480129,0.74263476876183
"",0.938056042000265,0.703825023960438,0.947695666123691,0.671934659976954
"",0.951759898842906,0.7977142472874,0.944688252577567,0.750689059884648
"",0.940687417648279,0.735673148360814,0.944544935978554,0.695690013958804
"",0.964414146772026,0.901674578978082,0.929791560612873,0.831923850629489
"",0.958432021888078,0.861806126363088,0.928770836660151,0.792498868950311
"",0.96265397073466,0.869639545029595,0.941100847930403,0.812946685960342
"",0.957147635756909,0.852343839067419,0.932214552202777,0.787205220435922
"",0.93847485405444,0.701276703867225,0.949486927555812,0.671916960009387
"",0.946765050264743,0.780993395771141,0.939829496379393,0.730235941688549
"",0.963593363943914,0.89190099469758,0.935286879737866,0.828095088293786
"",0.943184257738919,0.732374337467066,0.950122872907683,0.699429194199398
"",0.946117789588539,0.712448164140834,0.948387428487517,0.680184210324064
"",0.94006082913419,0.737864098417528,0.946957360174905,0.700457683955478
"1",0.968197554540913,0.940669780616793,0.927211910844528,0.868060787896827
"",0.966447975225593,0.910560600227954,0.927731771711754,0.838523362861543
"",0.969467554573588,0.926835641054069,0.924413237630783,0.85136501253858
"",0.966687348232587,0.924923442762713,0.924139779364978,0.849170661744929
"",0.964697237694526,0.913460398888718,0.924167717279286,0.837787791585585
"",0.962767717629457,0.908945367261529,0.921772977292553,0.830916532900686
"",0.956069202587821,0.846450566409354,0.930404371411142,0.779754220998861
"",0.964686531376488,0.917600837000307,0.922265517820419,0.839985078098508
"",0.950546349536987,0.76374524307995,0.943834558141299,0.71948333669836
"",0.950699096737971,0.774215559732192,0.944827716685238,0.729891206772283
"2",0.933868825934745,0.663873610444114,0.955542524397396,0.647695333966507
"",0.943846770886094,0.754097722511028,0.948985417487037,0.716990011405608
"",0.953647497477092,0.803771294939973,0.938437639291334,0.749172865508378
"",0.956423753719771,0.819874708747243,0.941151440062244,0.766840271972447
"",0.945047682102443,0.74052877747314,0.947727799626534,0.703678500875445
"",0.951535970637334,0.819121580999709,0.935639367991443,0.760082438601428
"",0.964455579921107,0.911381906289177,0.924520323166187,0.836096557193952
"",0.962664216988432,0.889320825382056,0.931550835583806,0.82173367633572
"",0.93898323195276,0.725978848940286,0.948080591766197,0.691459146468879
"",0.962013758261161,0.895190532164333,0.927109579655944,0.822836907896781
"",0.944591166211449,0.728514180354039,0.943885797256418,0.688701322408859
"",0.949960575964972,0.760975115552684,0.948103608686476,0.721977283324038
